delta_time,roll,pitch,yaw,label
88.49365234375,-147.6,45.7,-1241.7,gesture
175.384765625,-147.6,45.7,-1241.7,gesture
263.540771484375,-123.3,-88.5,-1216.7,gesture
349.860595703125,-123.0,87.4,-1267.5,gesture
437.687744140625,-115.8,38.5,-1285.8,gesture
525.64404296875,-111.7,79.1,-1294.5,gesture
613.658447265625,-111.7,79.1,-1294.5,gesture
699.24853515625,-114.9,-81.5,-1296.5,gesture
787.382568359375,-115.7,70.7,-1289.9,gesture
876.634765625,-99.8,-51.4,-1253.2,gesture
963.035888671875,-99.8,-51.4,-1253.2,gesture
1051.99267578125,-72.1,-48.6,-1211.7,gesture
1137.95703125,-62.1,-49.1,-1204.5,gesture
