delta_time,roll,pitch,yaw,label
89.328369140625,-19.7,-28.5,-1155.3,gesture
219.3076171875,-19.7,-28.5,-1155.3,gesture
306.497314453125,36.0,-65.8,-1166.3,gesture
394.162841796875,36.0,-65.8,-1166.3,gesture
482.363037109375,69.8,66.5,-1187.0,gesture
569.150634765625,79.6,-63.9,-1194.9,gesture
658.4970703125,94.2,-52.5,-1192.2,gesture
744.2353515625,94.2,-52.5,-1192.2,gesture
831.919921875,109.3,-83.0,-1178.9,gesture
918.544677734375,113.9,-25.6,-1181.2,gesture
1006.449462890625,108.5,-16.7,-1174.7,gesture
1093.64013671875,103.1,-15.1,-1174.1,gesture
1181.28857421875,103.1,-15.1,-1174.1,gesture
