delta_time,roll,pitch,yaw,label
130.765869140625,26.4,-70.9,-1341.0,gesture
219.6005859375,36.0,-28.6,-1317.9,gesture
307.026611328125,69.2,-54.4,-1273.6,gesture
394.058837890625,118.3,-25.9,-1302.3,gesture
480.400634765625,124.1,-56.4,-1329.4,gesture
569.453369140625,124.1,-56.4,-1329.4,gesture
655.81884765625,127.5,68.9,-1333.6,gesture
744.327392578125,144.6,-82.9,-1336.6,gesture
831.850830078125,145.8,-86.1,-1331.3,gesture
918.724853515625,145.8,-86.1,-1331.3,gesture
1005.676513671875,139.6,58.8,-1325.6,gesture
1094.300048828125,96.2,-67.2,-1326.9,gesture
1181.865234375,97.3,-73.8,-1312.4,gesture
1269.03076171875,97.3,-73.8,-1312.4,gesture
1356.22705078125,95.6,-73.7,-1312.8,gesture
