delta_time,roll,pitch,yaw,label
87.51806640625,-57.6,38.3,-1063.3,gesture
218.960693359375,-33.1,62.2,-1094.9,gesture
306.828125,-18.6,26.3,-1138.5,gesture
438.273193359375,-21.5,-31.3,-1162.1,gesture
526.434814453125,-9.4,-0.6,-1163.2,gesture
657.484130859375,-5.2,-0.8,-1153.1,gesture
744.29443359375,9.1,-58.5,-1104.6,gesture
832.404541015625,53.9,-54.7,-1104.7,gesture
919.728515625,47.1,-56.6,-1103.8,gesture
1007.427001953125,49.5,-63.4,-1103.5,gesture
1181.029052734375,49.5,-63.4,-1103.5,gesture
