delta_time,roll,pitch,yaw,label
88.101318359375,20.7,-53.1,-509.4,gesture
175.9130859375,43.5,89.7,-511.8,gesture
262.943603515625,43.0,-85.4,-514.8,gesture
351.064208984375,43.0,-85.4,-514.8,gesture
438.13232421875,43.3,88.2,-528.7,gesture
744.152587890625,47.1,84.0,-545.2,gesture
831.046875,50.4,-70.9,-547.2,gesture
962.94873046875,50.4,-70.9,-547.2,gesture
1050.0,43.1,41.7,-506.7,gesture
1138.71728515625,43.1,41.7,-506.7,gesture
1269.5576171875,43.1,61.2,-497.7,gesture
1357.10107421875,46.1,55.2,-505.8,gesture
1532.1279296875,36.3,3.8,-530.5,gesture
1619.08984375,16.4,21.1,-550.2,gesture
1707.222900390625,16.4,21.1,-550.2,gesture
