delta_time,roll,pitch,yaw,label
88.0654296875,-4.6,-2.6,-204.4,random
175.968994140625,-4.7,-5.9,-205.2,random
263.205322265625,-1.0,-14.5,-199.5,random
350.841796875,-3.0,-24.1,-194.3,random
437.7578125,-3.0,-24.1,-194.3,random
526.064697265625,10.4,-25.5,-171.6,random
612.813232421875,19.3,-11.0,-161.5,random
700.6181640625,16.1,-7.0,-169.2,random
788.203125,17.4,-15.5,-181.7,random
875.6337890625,17.4,-15.5,-181.7,random
962.873291015625,22.1,-12.2,-200.4,random
1050.6337890625,18.2,-2.0,-216.4,random
1137.607421875,19.0,6.3,-209.3,random
1225.722900390625,19.0,6.3,-209.3,random
1312.626708984375,18.2,-0.1,-192.8,random
1400.099853515625,8.0,-16.4,-197.8,random
