delta_time,roll,pitch,yaw,label
87.43017578125,30.8,-47.9,-48.0,random
174.929931640625,39.5,-76.4,-10.0,random
263.221923828125,39.5,-76.4,-10.0,random
350.138671875,58.5,-35.6,27.1,random
437.265869140625,70.0,-29.3,34.1,random
526.099365234375,82.1,-51.1,32.0,random
656.583251953125,82.1,-51.1,32.0,random
745.021728515625,88.5,-12.3,58.6,random
874.8330078125,88.5,-12.3,58.6,random
962.21826171875,97.7,21.1,90.1,random
1050.874267578125,97.7,21.1,90.1,random
1181.14892578125,98.8,34.2,101.3,random
1269.79248046875,99.3,33.2,105.4,random
1356.7001953125,99.9,35.5,95.2,random
1443.871826171875,109.6,28.2,60.0,random
1531.80224609375,123.1,39.3,9.8,random
1619.31298828125,123.1,39.3,9.8,random
1706.899658203125,125.9,55.6,-29.4,random
1793.512939453125,124.5,65.8,-39.7,random
1925.875,122.5,67.4,-39.2,random
2013.013916015625,121.8,66.3,-39.3,random
2100.455810546875,120.7,64.2,-38.7,random
2188.74609375,120.7,64.2,-38.7,random
2275.86669921875,118.1,57.8,-34.1,random
2362.413818359375,127.7,18.9,6.6,random
2450.925537109375,135.9,37.7,38.9,random
2537.433349609375,142.7,75.8,-17.1,random
2625.65380859375,142.7,75.8,-17.1,random
2713.0869140625,171.0,41.2,-13.4,random
2844.9091796875,-179.1,55.0,-14.8,random
2932.027099609375,169.5,90.0,5.0,random
