delta_time,roll,pitch,yaw,label
175.576904296875,53.6,-10.8,-879.3,gesture
263.055419921875,55.2,-19.2,-866.2,gesture
350.292236328125,70.7,-25.6,-857.0,gesture
437.429931640625,77.3,6.7,-875.3,gesture
525.52880859375,77.3,6.7,-875.3,gesture
612.86669921875,72.2,9.0,-888.7,gesture
745.01416015625,68.8,-5.3,-900.6,gesture
831.6904296875,64.8,-31.1,-897.7,gesture
919.483154296875,69.6,-15.0,-890.0,gesture
1051.110107421875,75.8,-17.9,-885.5,gesture
1138.451171875,90.8,-67.1,-895.3,gesture
1225.7470703125,92.9,-68.5,-893.3,gesture
1312.94189453125,92.9,-68.5,-893.3,gesture
1444.039306640625,94.0,-77.0,-893.3,gesture
