delta_time,roll,pitch,yaw,label
87.21875,56.4,-85.3,-480.6,gesture
175.345703125,56.4,-85.3,-480.6,gesture
262.107421875,76.9,-75.8,-447.8,gesture
350.140625,88.9,62.7,-457.3,gesture
437.388916015625,99.6,82.5,-488.0,gesture
525.70068359375,99.6,82.5,-488.0,gesture
611.51318359375,92.4,53.6,-515.8,gesture
699.573486328125,105.0,-88.4,-502.5,gesture
787.862060546875,116.1,-79.9,-496.2,gesture
918.704345703125,115.2,43.9,-503.2,gesture
1005.8310546875,110.9,58.6,-505.8,gesture
1092.507568359375,110.9,58.6,-505.8,gesture
