delta_time,roll,pitch,yaw,label
88.55029296875,5.2,-9.9,-131.1,gesture
175.51904296875,24.5,-45.2,-115.0,gesture
262.553466796875,41.7,-36.9,-92.4,gesture
350.77783203125,55.2,-62.2,-87.5,gesture
438.7666015625,55.2,-62.2,-87.5,gesture
570.198486328125,50.9,-12.4,-107.5,gesture
657.033935546875,53.1,-2.6,-147.6,gesture
744.718994140625,67.5,-23.9,-165.5,gesture
831.67431640625,84.8,-68.2,-155.5,gesture
919.5,101.2,-40.7,-136.9,gesture
1006.991943359375,106.8,-34.4,-135.9,gesture
1095.05810546875,106.8,-34.4,-135.9,gesture
1182.055419921875,102.5,88.2,-141.2,gesture
1269.140380859375,86.3,-40.0,-141.7,gesture
1444.17626953125,75.4,-30.2,-148.7,gesture
