delta_time,roll,pitch,yaw,label
87.808349609375,-43.7,-65.8,-1289.2,gesture
175.183349609375,-43.7,-65.8,-1289.2,gesture
262.27978515625,-0.5,-34.3,-1264.8,gesture
349.885986328125,7.7,-36.2,-1310.1,gesture
437.430419921875,10.2,87.0,-1328.8,gesture
525.562255859375,10.2,87.0,-1328.8,gesture
613.171630859375,23.8,-65.5,-1329.4,gesture
699.815185546875,33.1,-62.5,-1326.9,gesture
832.1015625,45.4,64.0,-1313.7,gesture
918.881103515625,76.4,-87.6,-1326.7,gesture
1006.4208984375,37.2,89.9,-1345.6,gesture
1181.621337890625,38.7,83.3,-1345.7,gesture
1268.4619140625,26.5,78.5,-1351.8,gesture
