delta_time,roll,pitch,yaw,label
88.18798828125,4.9,-42.8,-680.6,gesture
174.346435546875,4.9,-42.8,-680.6,gesture
262.06787109375,25.9,-38.3,-658.1,gesture
350.38623046875,16.2,87.6,-679.0,gesture
437.54296875,21.8,83.5,-705.2,gesture
525.482177734375,36.0,36.0,-696.1,gesture
612.47216796875,36.0,36.0,-696.1,gesture
700.7841796875,43.4,59.8,-675.4,gesture
787.642333984375,55.6,54.2,-677.2,gesture
876.0048828125,49.6,-2.7,-706.0,gesture
962.7861328125,49.6,-2.7,-706.0,gesture
1050.452392578125,72.7,-4.3,-688.7,gesture
