delta_time,roll,pitch,yaw,label
87.209716796875,96.8,-18.3,-985.3,gesture
218.45947265625,96.8,-18.3,-985.3,gesture
305.9501953125,109.1,-65.5,-1002.5,gesture
393.7861328125,124.8,-33.6,-979.9,gesture
481.462890625,-176.3,23.0,-923.9,gesture
568.21728515625,-137.3,43.0,-953.4,gesture
655.997802734375,-116.8,-11.7,-978.1,gesture
742.428955078125,-116.8,-11.7,-978.1,gesture
831.65478515625,-116.7,45.9,-997.6,gesture
918.34765625,-111.0,58.3,-997.0,gesture
1006.45654296875,-99.0,37.2,-976.1,gesture
1093.71630859375,-99.0,37.2,-976.1,gesture
1181.02783203125,-42.7,-87.8,-942.9,gesture
