delta_time,roll,pitch,yaw,label
86.88427734375,-105.6,-57.0,-1005.7,gesture
174.9580078125,-80.2,77.6,-991.3,gesture
306.3251953125,-80.2,77.6,-991.3,gesture
393.722900390625,-48.7,45.1,-1054.0,gesture
480.674072265625,-48.7,45.1,-1054.0,gesture
612.16064453125,-48.6,-87.6,-1059.8,gesture
700.4443359375,-47.5,-66.0,-1060.5,gesture
788.118896484375,-40.0,-65.8,-1052.2,gesture
873.67236328125,-56.1,57.4,-1031.7,gesture
962.409912109375,-25.7,-82.1,-1037.7,gesture
1137.906494140625,-25.7,-82.1,-1037.7,gesture
