delta_time,roll,pitch,yaw,label
86.998291015625,85.9,33.6,-510.6,gesture
175.46435546875,85.9,33.6,-510.6,gesture
262.469970703125,110.5,23.0,-491.6,gesture
350.345458984375,115.3,71.7,-512.5,gesture
437.81982421875,124.8,50.8,-540.1,gesture
524.266845703125,138.7,-89.1,-537.8,gesture
612.96435546875,138.7,-89.1,-537.8,gesture
699.864013671875,150.1,-72.5,-531.5,gesture
787.3701171875,148.2,73.9,-526.6,gesture
875.019287109375,135.1,-55.5,-535.3,gesture
961.797607421875,135.1,-55.5,-535.3,gesture
1049.598876953125,139.2,-59.1,-532.6,gesture
