delta_time,roll,pitch,yaw,label
87.46533203125,99.7,-55.7,-1429.0,gesture
219.66943359375,110.3,-14.0,-1431.9,gesture
305.9375,87.4,-31.6,-1488.0,gesture
393.051025390625,93.1,-87.8,-1499.8,gesture
481.40185546875,98.2,-59.5,-1494.5,gesture
569.710693359375,98.2,-59.5,-1494.5,gesture
656.749755859375,112.8,-64.7,-1491.9,gesture
744.04296875,132.4,58.8,-1482.1,gesture
831.348388671875,145.6,38.9,-1486.1,gesture
919.040771484375,145.6,38.9,-1486.1,gesture
1006.111572265625,146.9,41.1,-1482.5,gesture
1094.062744140625,147.4,32.9,-1481.4,gesture
