delta_time,roll,pitch,yaw,label
87.13037109375,83.3,-56.2,-1269.9,gesture
174.601806640625,116.3,83.4,-1236.1,gesture
263.1103515625,144.5,-76.3,-1281.8,gesture
349.65771484375,144.5,-76.3,-1281.8,gesture
437.85595703125,168.7,75.9,-1295.0,gesture
525.632568359375,178.4,-55.6,-1291.4,gesture
613.281494140625,-164.6,-27.8,-1288.2,gesture
700.400634765625,-164.6,-27.8,-1288.2,gesture
787.613037109375,-163.9,-37.1,-1282.3,gesture
874.616455078125,-152.1,85.9,-1261.6,gesture
962.705322265625,-137.5,78.8,-1273.7,gesture
1051.137451171875,-138.5,75.5,-1283.5,gesture
1137.6650390625,-138.5,75.5,-1283.5,gesture
