delta_time,roll,pitch,yaw,label
87.322265625,-20.9,-12.7,48.7,random
175.483642578125,-20.9,-12.7,48.7,random
262.94775390625,-38.3,-12.9,25.0,random
350.442138671875,-45.1,-13.2,29.7,random
437.283935546875,-15.5,-12.9,72.3,random
524.885009765625,-22.2,-25.5,82.0,random
612.909423828125,-22.2,-25.5,82.0,random
699.818359375,-31.7,-36.4,73.8,random
786.713623046875,-48.2,-42.4,53.1,random
874.429931640625,-54.0,-31.4,33.0,random
962.449462890625,-54.0,-31.4,33.0,random
1049.761474609375,-47.2,-17.3,54.0,random
1137.0126953125,-38.5,-20.4,68.9,random
1225.76220703125,-42.0,-28.1,52.2,random
1312.552734375,-44.7,-24.9,67.8,random
1399.908935546875,-44.7,-24.9,67.8,random
1486.9736328125,-49.3,-24.8,59.4,random
1574.816162109375,-41.8,-27.6,77.5,random
1662.822265625,-46.0,-29.5,67.8,random
1749.51708984375,-46.0,-29.5,67.8,random
1837.930419921875,-33.0,-29.2,79.5,random
