delta_time,roll,pitch,yaw,label
88.0966796875,-67.7,45.2,-1117.6,gesture
175.780517578125,-82.0,29.8,-1131.3,gesture
263.445068359375,-81.7,-6.0,-1120.0,gesture
351.348388671875,-58.3,-0.7,-1068.2,gesture
438.546142578125,-58.3,-0.7,-1068.2,gesture
525.273193359375,-35.6,55.2,-1066.9,gesture
613.562255859375,-33.9,29.9,-1123.0,gesture
701.598388671875,-35.1,-27.7,-1144.3,gesture
788.21337890625,-32.4,18.6,-1147.6,gesture
875.447509765625,-32.4,18.6,-1147.6,gesture
962.625244140625,-25.7,15.6,-1146.7,gesture
1050.357421875,-19.4,-29.6,-1126.6,gesture
1138.603759765625,-23.4,-16.3,-1134.9,gesture
1226.2294921875,-23.4,-16.3,-1134.9,gesture
1313.38427734375,-35.7,-23.2,-1142.8,gesture
1401.729248046875,-42.1,-26.4,-1149.1,gesture
