delta_time,roll,pitch,yaw,label
176.359130859375,15.9,-32.0,-155.2,random
263.133056640625,5.2,-14.0,-173.5,random
350.670654296875,28.2,-26.0,-173.7,random
438.977783203125,18.4,-46.8,-182.0,random
526.2568359375,26.6,-56.0,-167.6,random
614.70654296875,26.6,-56.0,-167.6,random
744.419921875,10.2,-59.3,-181.8,random
831.980712890625,10.2,-59.3,-181.8,random
919.18994140625,16.4,-51.9,-181.5,random
1007.205078125,3.6,-49.8,-206.3,random
1094.078369140625,10.4,-37.3,-191.6,random
1182.2177734375,10.4,-37.3,-191.6,random
