delta_time,roll,pitch,yaw,label
87.00341796875,40.3,86.0,-365.9,gesture
173.73681640625,66.4,-61.9,-330.7,gesture
262.967041015625,66.4,-61.9,-330.7,gesture
349.7666015625,86.9,-70.2,-312.8,gesture
436.97265625,76.7,-13.0,-349.2,gesture
524.3408203125,79.9,-36.4,-380.3,gesture
611.877197265625,79.9,-36.4,-380.3,gesture
699.54150390625,96.0,-86.1,-374.5,gesture
787.137451171875,113.0,-59.0,-363.1,gesture
874.215087890625,118.0,-81.9,-371.3,gesture
962.22314453125,90.2,-24.3,-386.6,gesture
1049.29833984375,90.2,-24.3,-386.6,gesture
1137.760009765625,82.0,-19.9,-393.1,gesture
