delta_time,roll,pitch,yaw,label
87.4921875,55.0,-20.5,-185.9,random
175.7216796875,53.1,-26.7,-187.4,random
262.60498046875,47.7,-32.5,-189.3,random
351.234375,47.4,-37.4,-188.5,random
439.1845703125,47.4,-37.4,-188.5,random
525.338623046875,42.7,-30.2,-182.1,random
613.0634765625,44.8,-28.9,-168.0,random
700.598388671875,43.4,-29.0,-169.1,random
788.693603515625,43.4,-29.0,-169.1,random
875.34326171875,41.6,-24.7,-181.1,random
963.810791015625,40.5,-17.7,-188.8,random
1050.6220703125,41.1,-20.3,-187.1,random
1138.64208984375,39.5,-29.1,-188.8,random
1225.0478515625,39.5,-29.1,-188.8,random
1312.966552734375,39.9,-31.6,-184.7,random
1399.65283203125,37.4,-23.0,-177.2,random
1488.80322265625,44.6,-15.3,-162.3,random
1576.09619140625,44.6,-15.3,-162.3,random
1662.014892578125,74.5,-19.7,-159.8,random
1750.328125,59.0,-21.7,-183.0,random
1836.8828125,63.9,-26.1,-157.0,random
1925.03662109375,66.6,-24.6,-150.4,random
2013.4111328125,66.6,-24.6,-150.4,random
2100.54345703125,65.8,-28.0,-168.6,random
2189.049072265625,74.3,-29.8,-175.0,random
