delta_time,roll,pitch,yaw,label
131.284423828125,-109.0,-78.0,-1013.9,gesture
218.9765625,-135.0,-75.1,-1070.0,gesture
306.2216796875,-121.0,57.9,-1109.0,gesture
393.010498046875,-115.1,-68.7,-1118.8,gesture
481.482177734375,-111.4,-46.4,-1121.8,gesture
569.040283203125,-111.4,-46.4,-1121.8,gesture
655.267578125,-109.8,-56.2,-1117.2,gesture
743.9169921875,-102.9,67.0,-1081.4,gesture
830.201416015625,-115.5,73.2,-1098.9,gesture
918.77294921875,-115.5,73.2,-1098.9,gesture
1005.28369140625,-126.5,63.8,-1107.4,gesture
1095.10302734375,-130.0,55.4,-1112.7,gesture
