delta_time,roll,pitch,yaw,label
88.4873046875,81.7,-56.9,-982.7,gesture
217.80615234375,105.7,-17.9,-978.9,gesture
306.651123046875,98.6,-30.6,-1028.7,gesture
393.6796875,84.8,-77.5,-1065.1,gesture
482.189453125,93.9,-42.4,-1077.4,gesture
569.407958984375,96.8,-29.3,-1078.8,gesture
657.151611328125,96.8,-29.3,-1078.8,gesture
743.97998046875,98.1,-44.6,-1066.9,gesture
831.7548828125,147.3,13.0,-1032.8,gesture
919.6875,165.9,19.2,-1035.8,gesture
1006.31884765625,175.4,19.0,-1026.3,gesture
1094.19482421875,175.4,19.0,-1026.3,gesture
