delta_time,roll,pitch,yaw,label
88.91650390625,16.2,-36.2,-283.0,random
220.300537109375,13.2,-35.1,-276.7,random
307.34521484375,27.4,-34.4,-260.6,random
395.106201171875,29.6,-35.8,-256.4,random
482.216552734375,36.5,-36.3,-252.6,random
570.044189453125,36.2,-43.8,-254.2,random
656.9482421875,36.2,-43.8,-254.2,random
745.569091796875,36.0,-48.5,-254.3,random
832.911865234375,37.9,-46.0,-255.6,random
920.869384765625,39.0,-37.3,-261.3,random
1007.078857421875,39.0,-37.3,-261.3,random
1139.93212890625,36.9,-34.9,-267.2,random
1226.735107421875,33.1,-31.0,-259.5,random
1313.64990234375,33.1,-23.7,-248.1,random
1400.907470703125,34.1,-20.0,-248.8,random
1487.771728515625,36.3,-24.1,-264.6,random
1620.306884765625,40.2,-22.7,-272.2,random
