delta_time,roll,pitch,yaw,label
88.3134765625,-132.5,-70.8,-594.2,gesture
176.7451171875,-131.4,-84.8,-599.6,gesture
307.079345703125,-124.3,-59.5,-573.6,gesture
394.27734375,-109.6,-69.1,-556.1,gesture
525.89990234375,-111.8,-14.6,-587.6,gesture
613.498046875,-116.3,-27.6,-612.3,gesture
700.489990234375,-138.4,-61.2,-618.9,gesture
788.689697265625,-140.3,-33.5,-611.9,gesture
875.72216796875,-140.3,-33.5,-611.9,gesture
1007.683349609375,-133.1,86.3,-619.1,gesture
1095.513427734375,-133.1,86.3,-619.1,gesture
1269.44189453125,-141.5,-84.6,-618.5,gesture
