delta_time,roll,pitch,yaw,label
87.968017578125,-2.7,6.4,-89.0,random
175.24072265625,-2.7,6.4,-89.0,random
262.97802734375,-14.4,1.6,-61.1,random
350.601318359375,-18.9,-12.3,-92.9,random
438.24853515625,-28.5,6.0,-127.1,random
524.974853515625,-39.4,13.1,-137.3,random
657.057373046875,-39.4,13.1,-137.3,random
743.71875,-67.5,-13.8,-112.4,random
831.190185546875,-58.5,-8.1,-91.2,random
919.56298828125,-56.7,-6.8,-92.8,random
1005.497314453125,-60.4,-9.2,-112.9,random
1093.484619140625,-54.5,-14.5,-142.9,random
1181.72998046875,-54.5,-14.5,-142.9,random
1268.996337890625,-50.5,-8.1,-151.3,random
