delta_time,roll,pitch,yaw,label
88.557861328125,-27.5,-48.2,-119.8,random
175.989501953125,-27.5,-48.2,-119.8,random
262.71337890625,-31.9,-65.5,-114.1,random
350.619873046875,-26.6,-30.2,-99.8,random
438.491455078125,-21.5,-20.9,-95.5,random
526.590576171875,-18.0,-21.3,-95.4,random
613.1572265625,-18.0,-21.3,-95.4,random
700.87939453125,-10.3,-27.3,-100.5,random
788.70068359375,-12.4,-32.5,-112.6,random
875.853759765625,-15.1,-33.2,-112.8,random
1139.112060546875,-15.1,-33.2,-112.8,random
1269.526611328125,10.1,-33.0,-71.5,random
