delta_time,roll,pitch,yaw,label
87.20654296875,55.2,8.1,-1072.9,gesture
174.533447265625,86.8,18.0,-1085.3,gesture
262.64697265625,86.8,18.0,-1085.3,gesture
350.056396484375,93.3,-3.1,-1129.3,gesture
437.842529296875,96.6,-56.3,-1153.9,gesture
525.247802734375,101.1,-25.4,-1161.7,gesture
612.484619140625,108.8,-26.3,-1152.6,gesture
700.3935546875,108.8,-26.3,-1152.6,gesture
787.184814453125,103.9,-85.1,-1131.3,gesture
875.395263671875,139.3,-66.0,-1125.5,gesture
961.879150390625,147.3,-68.5,-1118.0,gesture
1049.507568359375,147.3,-68.5,-1118.0,gesture
