delta_time,roll,pitch,yaw,label
87.07763671875,28.1,36.8,-1568.3,gesture
174.7607421875,62.4,70.3,-1575.6,gesture
261.291259765625,62.4,70.3,-1575.6,gesture
349.435791015625,72.3,32.3,-1616.3,gesture
436.7294921875,83.7,87.5,-1613.3,gesture
524.6298828125,83.7,81.8,-1617.0,gesture
611.7734375,81.0,25.4,-1596.8,gesture
699.84765625,81.0,25.4,-1596.8,gesture
787.663818359375,36.4,24.4,-1623.2,gesture
875.263427734375,28.6,19.9,-1632.8,gesture
962.20361328125,21.2,15.5,-1637.2,gesture
1048.957275390625,21.2,15.5,-1637.2,gesture
