delta_time,roll,pitch,yaw,label
88.991455078125,38.7,-24.0,-67.4,random
176.832275390625,32.1,-11.9,-86.8,random
263.5576171875,32.1,-11.9,-86.8,random
350.9365234375,16.8,-22.3,-110.7,random
438.7939453125,22.5,-1.9,-96.0,random
526.936767578125,39.3,6.4,-73.9,random
614.44482421875,30.3,23.4,-91.5,random
700.879150390625,30.3,23.4,-91.5,random
788.900634765625,20.1,12.2,-109.5,random
876.9951171875,9.9,-0.3,-118.1,random
963.561279296875,31.6,7.6,-92.6,random
1051.963134765625,31.6,7.6,-92.6,random
