delta_time,roll,pitch,yaw,label
88.215576171875,27.6,36.2,-1078.1,gesture
175.352783203125,76.1,59.1,-1068.1,gesture
262.2041015625,89.1,24.2,-1123.2,gesture
350.126953125,93.2,-31.7,-1143.8,gesture
438.34130859375,93.2,-31.7,-1143.8,gesture
525.12841796875,100.1,-0.6,-1152.3,gesture
612.729248046875,94.4,-20.0,-1148.1,gesture
743.279052734375,111.8,36.1,-1115.8,gesture
831.29541015625,122.5,34.3,-1106.4,gesture
918.783203125,119.1,31.1,-1107.5,gesture
1007.123291015625,119.1,31.1,-1107.5,gesture
