delta_time,roll,pitch,yaw,label
88.41162109375,-14.0,-30.9,-983.3,gesture
218.120361328125,-14.0,-30.9,-983.3,gesture
306.29296875,11.0,-28.8,-938.8,gesture
394.037109375,11.0,-28.8,-938.8,gesture
482.06591796875,43.6,-19.9,-970.2,gesture
569.927734375,74.2,-71.2,-984.4,gesture
656.687255859375,75.0,59.5,-990.4,gesture
743.44384765625,75.0,59.5,-990.4,gesture
833.028564453125,79.2,72.2,-985.2,gesture
919.185791015625,70.6,17.1,-985.7,gesture
1007.3935546875,57.6,4.1,-995.0,gesture
1094.264892578125,57.6,4.1,-995.0,gesture
