delta_time,roll,pitch,yaw,label
89.382568359375,54.3,-69.8,-1163.9,gesture
175.757568359375,63.1,84.2,-1119.1,gesture
263.514404296875,63.1,84.2,-1119.1,gesture
350.9853515625,77.1,63.0,-1082.5,gesture
437.741943359375,100.2,-89.1,-1096.9,gesture
525.916259765625,107.7,88.3,-1138.5,gesture
613.53271484375,107.7,88.3,-1138.5,gesture
745.448974609375,113.2,44.0,-1146.8,gesture
833.2900390625,118.1,6.2,-1143.4,gesture
920.55615234375,118.5,25.1,-1140.5,gesture
1006.86572265625,120.2,23.3,-1136.2,gesture
1138.650390625,116.4,3.5,-1133.0,gesture
1225.714599609375,132.3,-53.9,-1113.3,gesture
1314.169921875,112.4,-55.0,-1137.2,gesture
1401.382568359375,112.4,-55.0,-1137.2,gesture
1488.304931640625,100.1,-51.0,-1146.2,gesture
1575.878173828125,98.8,-52.2,-1144.6,gesture
