delta_time,roll,pitch,yaw,label
88.329345703125,-0.4,8.8,-1184.0,gesture
175.513427734375,4.5,-30.1,-1179.3,gesture
263.802734375,4.5,-30.1,-1179.3,gesture
350.932373046875,13.2,5.3,-1153.4,gesture
438.729736328125,60.8,-16.1,-1101.8,gesture
525.833251953125,98.0,9.8,-1107.8,gesture
612.814697265625,98.0,9.8,-1107.8,gesture
701.41015625,89.1,1.1,-1156.0,gesture
788.324462890625,91.4,-46.5,-1173.7,gesture
875.1552734375,99.2,-9.4,-1174.9,gesture
963.318603515625,101.0,5.0,-1168.7,gesture
1094.206787109375,101.0,5.0,-1168.7,gesture
1181.90576171875,128.3,40.6,-1133.8,gesture
1269.373779296875,128.3,40.6,-1133.8,gesture
1356.522216796875,120.5,37.1,-1140.5,gesture
