delta_time,roll,pitch,yaw,label
87.411865234375,127.9,-1.8,-1168.0,gesture
176.07958984375,132.3,4.0,-1112.1,gesture
262.924072265625,132.3,4.0,-1112.1,gesture
350.379150390625,167.9,-41.3,-1101.1,gesture
436.778076171875,-163.4,-27.4,-1148.8,gesture
525.92529296875,-145.2,-60.9,-1164.0,gesture
613.97607421875,-134.4,70.5,-1157.6,gesture
700.047119140625,-134.4,70.5,-1157.6,gesture
789.228271484375,-134.7,-79.0,-1155.0,gesture
874.739990234375,-137.7,-73.9,-1149.2,gesture
963.064208984375,-139.5,61.5,-1141.2,gesture
1050.98095703125,-139.5,61.5,-1141.2,gesture
1138.554931640625,-173.2,76.8,-1134.4,gesture
