delta_time,roll,pitch,yaw,label
131.469482421875,28.3,-19.3,-169.1,random
219.347412109375,39.3,-23.9,-152.7,random
307.066650390625,39.3,-23.9,-152.7,random
394.38427734375,31.1,-22.3,-162.4,random
481.776611328125,32.6,-21.6,-163.5,random
569.027587890625,31.8,-20.6,-163.9,random
656.6611328125,30.1,-18.6,-163.1,random
744.90673828125,30.1,-18.6,-163.1,random
875.111328125,29.1,-19.8,-162.5,random
963.616943359375,28.1,-21.4,-161.4,random
1049.6123046875,28.2,-23.2,-161.4,random
1138.710693359375,22.6,-20.3,-167.8,random
1226.09228515625,18.9,-25.0,-163.6,random
1356.402587890625,18.9,-25.0,-163.6,random
1444.57177734375,12.8,-26.8,-161.0,random
1531.399169921875,12.8,-26.8,-161.0,random
1619.363525390625,10.1,-24.1,-169.2,random
1707.41748046875,11.6,-26.3,-168.2,random
