delta_time,roll,pitch,yaw,label
88.656005859375,43.9,-64.3,108.2,random
176.225341796875,53.9,-52.4,113.1,random
263.59228515625,53.9,-52.4,113.1,random
350.525390625,40.2,4.5,108.2,random
439.0458984375,40.1,-42.3,102.2,random
526.501220703125,40.5,-43.7,109.8,random
613.3583984375,6.8,12.9,112.2,random
700.630859375,6.8,12.9,112.2,random
832.560791015625,18.9,-30.6,107.2,random
919.923583984375,23.0,-14.5,117.8,random
1007.338623046875,12.4,41.7,119.4,random
1094.389892578125,23.8,23.8,117.7,random
1182.282958984375,26.4,14.1,116.7,random
1269.990234375,26.4,14.1,116.7,random
1357.130859375,28.2,16.4,118.5,random
