delta_time,roll,pitch,yaw,label
87.775634765625,97.1,18.4,-571.1,gesture
174.523193359375,95.9,-7.0,-566.4,gesture
263.145263671875,105.5,12.5,-551.1,gesture
350.656982421875,105.5,12.5,-551.1,gesture
437.988037109375,115.3,9.8,-532.3,gesture
525.0810546875,122.7,-15.2,-526.0,gesture
612.57275390625,129.9,6.8,-536.9,gesture
744.549560546875,129.9,6.8,-536.9,gesture
830.888671875,116.3,-17.8,-554.6,gesture
918.875,116.3,-17.8,-554.6,gesture
1007.601806640625,120.7,-49.5,-546.7,gesture
1093.58544921875,127.9,-31.4,-537.9,gesture
1181.265869140625,133.6,-38.1,-538.6,gesture
1268.803955078125,133.6,-38.1,-538.6,gesture
1355.9912109375,137.2,-84.0,-542.8,gesture
1444.354736328125,117.8,-61.1,-550.2,gesture
1531.459228515625,109.8,-63.7,-553.4,gesture
