delta_time,roll,pitch,yaw,label
89.00341796875,67.5,19.2,-1074.0,gesture
175.966796875,75.9,10.0,-1022.6,gesture
263.619384765625,88.3,37.1,-1034.0,gesture
351.00341796875,86.9,14.0,-1081.5,gesture
438.097412109375,84.5,-42.6,-1089.0,gesture
525.614013671875,84.5,-42.6,-1089.0,gesture
613.811279296875,91.3,-5.4,-1086.9,gesture
701.19091796875,99.9,-0.9,-1079.2,gesture
788.628173828125,113.7,-40.5,-1063.4,gesture
876.65869140625,113.7,-40.5,-1063.4,gesture
963.17578125,75.8,-23.4,-1047.5,gesture
