delta_time,roll,pitch,yaw,label
88.08837890625,112.5,-52.7,-1059.2,gesture
175.747802734375,117.9,-21.5,-1059.2,gesture
263.3076171875,117.9,-21.5,-1059.2,gesture
350.908935546875,97.5,-25.2,-1115.3,gesture
438.478271484375,99.0,-76.0,-1152.4,gesture
525.83984375,111.3,-36.4,-1163.3,gesture
613.179931640625,111.3,-36.4,-1163.3,gesture
700.357177734375,127.7,-26.7,-1156.2,gesture
787.447021484375,134.3,-58.6,-1139.6,gesture
875.107421875,99.5,-29.4,-1136.9,gesture
962.376953125,81.7,-37.8,-1149.6,gesture
1050.383544921875,81.7,-37.8,-1149.6,gesture
1138.026611328125,74.3,-38.0,-1155.9,gesture
