delta_time,roll,pitch,yaw,label
89.164794921875,50.9,7.6,-1136.7,gesture
176.094482421875,45.3,-33.2,-1122.8,gesture
263.725341796875,71.5,-46.5,-1093.0,gesture
350.944580078125,123.9,-4.6,-1088.9,gesture
438.48095703125,123.9,-4.6,-1088.9,gesture
526.0107421875,153.3,-6.9,-1124.7,gesture
612.60009765625,172.8,-45.1,-1141.5,gesture
701.320556640625,175.6,-0.9,-1142.6,gesture
788.91552734375,-178.9,16.8,-1136.6,gesture
875.383056640625,-178.9,16.8,-1136.6,gesture
1006.892578125,-179.7,-8.4,-1127.2,gesture
