delta_time,roll,pitch,yaw,label
88.584716796875,19.3,-52.3,-177.9,gesture
176.198486328125,29.8,-13.3,-173.2,gesture
263.0654296875,47.8,-3.8,-145.7,gesture
351.38916015625,47.8,-3.8,-145.7,gesture
438.667724609375,64.1,-21.3,-132.4,gesture
525.38916015625,74.8,25.2,-141.1,gesture
613.42431640625,81.2,46.9,-165.3,gesture
700.5556640625,81.2,46.9,-165.3,gesture
788.5068359375,84.5,37.4,-198.4,gesture
876.08447265625,101.6,74.8,-200.8,gesture
962.971923828125,113.4,-80.1,-194.7,gesture
1050.333251953125,119.0,-72.0,-192.9,gesture
1269.593017578125,119.0,-72.0,-192.9,gesture
1488.480224609375,90.6,-81.7,-199.6,gesture
