delta_time,roll,pitch,yaw,label
88.337646484375,18.0,54.0,-70.0,random
176.47998046875,28.2,68.9,-56.5,random
262.796142578125,17.6,79.2,-60.0,random
351.118408203125,17.6,79.2,-60.0,random
437.961181640625,14.9,56.0,-84.2,random
524.98974609375,9.4,62.4,-94.1,random
612.21435546875,10.8,62.4,-93.7,random
701.1416015625,10.8,62.4,-93.7,random
787.214599609375,4.2,55.9,-96.0,random
874.933837890625,-20.0,87.8,-113.4,random
963.1875,-54.3,-63.9,-123.4,random
1050.27294921875,-54.3,-63.9,-123.4,random
1181.53125,-54.8,-63.0,-124.8,random
1269.58251953125,-61.0,-71.3,-111.2,random
1400.691162109375,-73.8,-87.3,-55.2,random
1488.25048828125,-65.9,81.6,-24.3,random
1575.3154296875,-64.5,79.0,-24.2,random
1662.69775390625,-61.5,78.5,-23.7,random
