delta_time,roll,pitch,yaw,label
88.494384765625,33.3,-37.6,58.4,random
175.346435546875,42.8,-32.0,72.7,random
306.32861328125,51.8,-40.7,80.5,random
394.02001953125,57.1,-26.2,86.9,random
481.44580078125,57.1,-26.2,86.9,random
612.67236328125,52.4,-9.0,83.4,random
700.51904296875,46.1,1.6,68.1,random
831.680908203125,47.4,-2.4,46.8,random
918.866943359375,49.8,-16.6,33.8,random
1006.4775390625,53.4,-34.8,35.6,random
1093.6357421875,58.2,-21.5,49.1,random
1182.012451171875,60.6,-22.2,67.3,random
1269.4052734375,60.6,-22.2,67.3,random
1357.159912109375,62.0,-38.4,77.3,random
1444.096923828125,49.7,-7.8,42.7,random
1531.787841796875,41.6,4.6,9.7,random
1663.103759765625,39.8,-10.9,-12.6,random
1750.80615234375,46.9,-40.4,-6.5,random
1837.49462890625,69.2,-38.8,9.8,random
1924.96533203125,69.2,-38.8,9.8,random
2013.84619140625,86.1,-65.4,27.4,random
2100.606201171875,87.7,-44.9,34.6,random
