delta_time,roll,pitch,yaw,label
88.684814453125,94.6,-36.1,-1122.6,gesture
219.9833984375,106.7,-14.3,-1069.7,gesture
307.055419921875,152.0,40.1,-1063.5,gesture
395.023193359375,136.9,33.9,-1118.9,gesture
481.77587890625,129.3,-20.8,-1134.0,gesture
569.08447265625,130.3,20.4,-1131.3,gesture
656.30908203125,130.3,20.4,-1131.3,gesture
744.593017578125,142.1,27.0,-1124.3,gesture
832.875732421875,133.7,-27.8,-1116.9,gesture
919.095458984375,95.1,-29.9,-1130.2,gesture
1007.5927734375,95.1,-29.9,-1130.2,gesture
