delta_time,roll,pitch,yaw,label
87.968505859375,-24.4,-32.6,-218.8,random
219.644287109375,-27.7,-36.8,-226.1,random
307.055908203125,-18.5,-38.0,-198.4,random
394.615478515625,-6.5,-34.2,-195.7,random
481.952392578125,-9.5,-31.9,-222.0,random
570.420166015625,-10.6,-33.8,-221.6,random
657.4296875,-10.6,-33.8,-221.6,random
744.47265625,-17.0,-39.4,-191.0,random
832.8095703125,-12.8,-36.0,-191.2,random
963.3642578125,-29.6,-42.9,-218.8,random
1094.975830078125,-30.1,-48.8,-229.0,random
1182.15869140625,-39.2,-38.9,-240.5,random
1269.162353515625,-33.6,-53.8,-234.9,random
1532.314208984375,-30.7,-42.2,-216.4,random
1619.998046875,-8.7,-8.2,-223.2,random
1751.14013671875,-23.0,-22.4,-245.7,random
