delta_time,roll,pitch,yaw,label
87.19873046875,-31.6,82.5,-1199.5,gesture
175.68896484375,-22.0,42.3,-1163.9,gesture
263.111083984375,-22.0,42.3,-1163.9,gesture
351.1865234375,-0.9,37.5,-1121.5,gesture
438.018310546875,40.0,65.1,-1139.9,gesture
525.274658203125,24.5,53.7,-1194.2,gesture
613.536376953125,25.2,-1.2,-1204.5,gesture
700.8935546875,25.2,-1.2,-1204.5,gesture
788.2783203125,27.2,47.1,-1205.0,gesture
875.6181640625,31.6,54.0,-1204.5,gesture
962.440185546875,37.5,9.6,-1203.0,gesture
1050.584716796875,37.5,9.6,-1203.0,gesture
1138.457763671875,-6.8,65.2,-1209.8,gesture
1225.615234375,3.2,59.0,-1199.6,gesture
